Station Name,Latitude,Longitude,Number of Bikes
PL. PAU VILA (D),41.381046,2.186576,17
"C/ BRUC, 102",41.3954041,2.1681961,2
"C/ EDUARD TODA, 33 | C/ DOCTOR LETAMENDI",41.4345997,2.1585268,1
"C/ BALMES, 409",41.4074131,2.1381069,0
"PG. ZONA FRANCA, 182",41.360798,2.138931,24
"C/ SANT RAMON NONAT,  26",41.3770199,2.1169828,1
"C/ DE LES ESCOLES PIES, 99",41.4029965,2.1283866,0
"C/ GRAN DE GRÀCIA, 37",41.3989151,2.1564253,0
"C/ ELISA, 1",41.4052698,2.1420204,0
"C/ CASP, 67",41.3937234,2.1764275,6
"C/ FLORIDABLANCA, 145",41.3819459,2.1629146,10
"C/ DOCTOR ROUX, 86",41.3998981,2.1281922,0
"C/ NUMÀNCIA, 136",41.3878061,2.1344218,0
CAMPANA DE LA MAQUINISTA (SAO PAULO I PL. DE,41.4389609,2.1996179,19
"C/ LLULL, 309",41.4065291,2.2091221,8
"C/ BAILÉN, 62",41.3952527,2.1730023,3
"C/ VILAMARÍ,  61",41.3790718,2.1490553,3
"C/ SANTALÓ, 165",41.4009,2.13892,2
"C/ DIPUTACIÓ, 272",41.39161170092347,2.1689031978751205,6
"C/ SANTA AMÈLIA, 2",41.3935355,2.1231228,2
"AV. DIAGONAL, 668",41.3887069,2.1285766,0
"C/ SANT ANTONI Mª CLARET, 290-296",41.4138664,2.1777274,2
"C/ DEL COMTE D'URGELL, 75 B",41.3830299,2.1571646,3
"C/ VILLARROEL, 208",41.392052,2.1480223,10
"C/ JOHN MAYNARD KEYNES, 2 | AV. DIAGONAL",41.3862258,2.1168609,0
"C/ SANT ADRIÀ, 43",41.4352071,2.1948002,17
"C/ ROSSELLÓ, 108-110",41.388296,2.150878,0
"C / GIRONA, 176",41.3999967,2.1644531,4
"C/ GOMBAU, 24",41.3872437,2.1793035,19
"C/ BOLIVIA, 120",41.4058109,2.1949461,13
PL. CARLES PI I SUNYER,41.385086,2.174016,9
"C/ MINERIA, 30",41.3649272,2.138599,3
"C/ DOCTOR SALVADOR CARDENAL, 1-5",41.3853868,2.122893,3
"C/ JOAN D'ÀUSTRIA, 31B",41.392384,2.1925059,12
"C/ RAMON TURRÓ, 292",41.4038559,2.2084257,10
"C/ BAC DE RODA, 11",41.4023354,2.2105777,19
"C/ VALLMAJOR, 13",41.3981616,2.1386719,1
"PG. DE GARCIA FÀRIA, 21/ESPRONCEDA",41.400654,2.210191,10
"C/ BRUC, 45",41.3924661,2.1717397,6
"C/ SARDENYA, 326",41.4039698,2.1729061,3
"AV. LITORAL, 72",41.3961412,2.2078439,4
"RAMBLA DE PRIM, 19",41.4116634,2.2183313,12
"RAMBLA CATALUNYA, 133 /  CÒRSEGA",41.3953894,2.1572953,2
PL. TERESA DE CLARAMUNT/C/ DELS FERROCARILS,41.3631066,2.1398322,13
"C/ WATT, 2",41.3754426,2.1398409,8
"RBLA. CATALUNYA, 47",41.3902625,2.164035,6
"C/ ARAGÓ, 288",41.39352,2.166797,8
"C/ LLOBREGÓS, 115",41.4246885,2.1570492,0
"AV. DIAGONAL, 672",41.3880355,2.1256248,1
"AV. MERIDIANA, 404",41.4304126,2.1834174,7
"C/ LONDRES, 101-103",41.3936144,2.1507739,3
"AV. DIAGONAL, 630",41.3915195,2.1390667,1
"C/ JUAN GRIS, 28",41.3653426,2.1331357,6
"AV. PARAL.LEL, 132",41.3750995,2.1613897,14
"C/ BOLÍVIA, 76",41.4030225,2.1913538,2
"C/ DEL GUINARDÓ, 32-38",41.4156285,2.1817876,0
"C/ MARTÍ I FRANQUÈS, 1",41.3847061,2.1170751,0
"C/ ANTILLES, 8",41.4250835,2.1872818,13
"PL. CATALUNYA, 22",41.3860607,2.1702467,13
"PL. JEAN GENET,  1",41.376735,2.1740082,7
PL. POETA BOSCÀ | C/ ATLÀNTIDA,41.379326,2.189906,4
"PL. SANT MIQUEL, 4",41.381708,2.177292,15
"PG. VALL D'HEBRÓN, 80",41.419965,2.1401823,1
"VIA BARCINO, 69",41.4506081,2.1923629,13
PL. VICENÇ MARTORELL,41.3842634,2.1692556,12
"C/ CASTILLEJOS, 258",41.4064529,2.1785364,0
"C/ COMERÇ, 36",41.3869612,2.1820169,16
"PG. MARITIM, 23 (HOSPITAL DEL MAR)",41.3833653,2.1946255,10
JARDINS DE CAN FERRERO/PG.DE LA ZONA FRANCA,41.357067,2.141563,2
"C/ ROSSELLÓ, 557",41.4110754,2.1809764,4
"C/ CASTELLA,  28 / DIAGONAL",41.4056269,2.1977119,11
"C/ EUROPA, 25",41.387561,2.1306737,0
"C/ MALLORCA, 84",41.3850278,2.1510385,0
"RAMBLA PRIM, 79",41.416043,2.2124993,16
"GRAN VIA DE LES CORTS CATALANES, 609",41.3893222,2.1678388,8
"C/ GRAN CAPITÀ, 9",41.3881262,2.1091535,2
"C/ REINA VICTORIA, 31",41.3969455,2.136346,0
"C/ TUCUMÁN, 21",41.4457962,2.2010422,3
C/ MUNNÉ  2-6,41.37541,2.1232547,3
"C/ ROSSELLÓ,  101",41.3879131,2.150342,0
"TRAVESSERA DE GRÀCIA, 368",41.4098842,2.1715285,1
"PL. CATALUNYA, 10-11 (PG. DE GRÀCIA)",41.387696,2.1696543,6
"C/ D'ALACANT, 12",41.4000778,2.1326911,10
"C/ JORGE MANRIQUE, 15",41.4312335,2.1499103,0
"PTGE. MALUQUER, 16",41.4095489,2.1360313,1
PL. DEL MAR,41.3748001,2.1889045,12
"C/ CASANOVA, 139",41.3887127,2.1542277,1
"PG. ZONA FRANCA, 9",41.3513237,2.1450958,16
"C/ VALLESPIR, 49",41.3796421,2.1368202,0
"C/ JOAN MIRÓ, 2-12",41.3890253,2.1968267,19
"C/ ARAGÓ, 614",41.4095069,2.1885055,7
"C/ RIUS I TAULET, 4",41.3727426,2.1539198,14
"PG. DE GARCIA FÀRIA, 37/JOSEP FERRATER",41.403216,2.2136,12
"C/ RAMÓN TURRÓ, 160",41.3972809,2.1997869,19
"C/ ROGER DE FLOR, 126",41.3954877,2.1771985,10
"C/ COMTE D'URGELL, 43",41.3812504,2.1594741,7
"AV. RASOS DE PEGUERA, 10",41.462095,2.178959,12
"C/ CARDENAL REIG, 11",41.37684,2.114029,1
"C/ CONCEPCIÓ ARENAL, 281",41.4325013,2.1842021,5
"C/ VILARDELL, 18",41.3745238,2.1422556,14
"C/ DE BONAVISTA, 14",41.3983444,2.1598243,2
"C/ TARRAGONA, 141",41.3779613,2.1450491,2
"C/ VIRIAT, 43",41.3806074,2.1408633,7
"C/ RIERA ALTA, 6",41.3806411,2.1671611,7
"C/ DEL CANÓ, 1",41.4013296,2.1574439,5
"PL  JOANIC - C / BRUNIQUER, 59",41.4055198,2.1622548,0
"LA RAMBLA, 101",41.3826647,2.1717083,13
"AV. MERIDIANA, 47 (D)",41.3982615,2.1866517,21
"AV. ICÀRIA, 202",41.3942108,2.2008756,2
"C/ MÚRCIA, 64",41.4166982,2.1909952,2
"C/ PEDROSA, 24",41.4490679,2.1833801,7
"VIA FAVÈNCIA, 47",41.4418604,2.1664224,1
"C/ CARDENER, 59",41.4105956,2.1579897,1
"C/ VILADOMAT,  2",41.3755747,2.1629349,18
"C/ SANT ADRIÀ, 113",41.4361782,2.2047037,0
WORLD TRADE CENTER,41.3720293,2.1804468,15
"C/ PROVENÇA, 317",41.3988184485363,2.166735224916682,3
"C/ FÍGOLS, 1",41.3812979,2.1289917,0
"C/ TORRENT DE L'OLLA, 11",41.3989713,2.1606736,7
AV. LITORAL (PG MARÍTIM DEL PORT OLÍMPIC),41.3889129,2.1993105,17
"C/ NÀPOLS, 183",41.3981669,2.1754896,6
PLAÇA DELS ÀNGELS (MACBA),41.38268,2.16712,9
"VIA AUGUSTA, 317",41.399017,2.124329,1
SELVA DE MAR / PG. DEL TAULAT,41.4053697,2.2135818,9
PG. DE LLUíS COMPANYS (ARC DE TRIOMF),41.391062,2.1801142,4
"C/ AMILCAR, 78",41.4260751,2.1722534,0
"C/ MARINA, 199",41.4005784,2.1788855,12
"C/ BRUC, 130",41.3969839,2.1661852,3
