Average_rating_F,Average_dist_F,Average_popularity_F,Number of Bikes
8.059999999999999,671.8,0.972205074053015,13
9.07,688.3,0.9800131318874716,4
8.67,743.8,0.9604703111038908,0
8.74,707.5,0.9687914602117348,2
8.870000000000001,765.2,0.9780386104567732,0
9.23,602.3,0.9893618173449218,0
9.03,846.0,0.9764790295941298,0
9.24,604.1,0.989755773969079,1
8.809999999999999,626.2,0.966433812579536,0
9.06,736.3,0.9841733679906856,3
9.19,717.1,0.987289145208892,4
8.739999999999998,669.4,0.958173584599139,1
9.23,719.9,0.9907589418677064,4
8.64,609.8,0.948086399696748,6
9.15,764.8,0.9912733869439256,20
8.989999999999998,752.2,0.9763632794519808,4
7.85,681.4,0.9553806893564024,0
9.07,734.5,0.9627115316925244,1
8.4,664.9,0.979615113854818,16
7.7200000000000015,641.8,0.9582284136138414,5
9.27,596.7,0.9881643787398804,5
9.2,698.6,0.9921513280805784,22
8.59,723.4,0.980311645411962,5
8.979999999999999,712.8,0.965719681585574,2
9.03,608.0,0.9644274767822812,4
9.07,593.5,0.9847263964476214,17
8.03,750.2,0.9705195895269814,15
9.11,650.7,0.9836907372810224,20
9.02,644.2,0.9756132726829664,1
8.74,728.4,0.9856347981479978,4
9.010000000000002,700.3,0.971395499959386,3
8.92,697.5,0.9686797714780818,5
8.76,771.0,0.959932174478109,1
9.2,817.8,0.9912713562396772,9
8.45,588.1,0.9551640809032572,21
8.479999999999999,484.7,0.9484201120948744,7
9.06,710.1,0.98979706495546,3
9.07,757.4,0.9869662632334228,13
9.07,601.6,0.9798892589283296,4
9.09,680.5,0.9909620122925296,22
9.31,831.6,0.9982827011074108,7
8.080000000000002,760.3,0.9677009720304336,15
8.98,606.3,0.9653656621449652,1
7.880000000000001,666.2,0.9250751360571844,9
8.95,597.0,0.961837651964368,0
9.23,836.6,0.995298242763924,21
9.24,729.5,0.9932424931632956,13
7.729999999999999,702.9,0.9410987463785776,18
9.100000000000003,762.1,0.982494652478813,7
9.1,620.9,0.9731764275850866,17
9.239999999999998,814.7,0.997093385319362,1
9.02,626.8,0.9711409850269408,5
9.0,548.5,0.9676813418893672,2
8.759999999999998,734.9,0.9566370183846424,1
9.28,640.5,0.993480085560339,3
9.21,709.9,0.9904225218639156,23
8.11,525.0,0.9704620529066148,14
9.01,788.2,0.975948338883925,1
8.17,787.9,0.9279323369344488,5
8.98,626.9,0.9653656621449652,2
9.01,596.7,0.964832940730512,3
8.01,680.6,0.9517462181734968,3
9.11,726.0,0.9867895919638264,5
7.970000000000001,607.1,0.9630700980161144,12
9.260000000000002,667.3,0.987614057888609,0
8.91,814.0,0.9706130019224,2
9.1,741.9,0.9663559689166872,0
9.29,455.9,0.997762840819863,2
8.600000000000001,752.1,0.9441427720466792,3
8.6,627.7,0.9492357783012484,2
9.27,648.1,0.9952847047356024,10
9.250000000000002,592.6,0.9925419001976554,4
9.21,629.6,0.9892291446673708,11
9.06,793.3,0.9695563588119028,1
9.04,718.6,0.986933771965451,2
9.2,596.0,0.9921052987842852,8
9.29,612.1,0.9965626946091573,16
8.0,550.8,0.9303224758346196,7
8.260000000000002,690.8,0.95193119974007,2
8.180000000000001,678.2,0.9329590068502424,9
8.809999999999999,762.7,0.9581113096688598,0
9.13,759.1,0.9859434651937292,1
9.259999999999998,616.5,0.9939193945793736,4
8.52,779.6,0.9353017626512876,1
8.44,675.1,0.9560311916172528,7
8.86,843.4,0.9278111715809708,8
9.179999999999998,608.0,0.9921574201933232,13
9.259999999999998,513.1,0.995160154875044,2
9.159999999999998,648.1,0.9712262746053666,2
8.379999999999999,777.0,0.9289246744104188,6
8.830000000000002,741.6,0.962079305769908,0
9.13,523.5,0.9910662551106058,11
8.750000000000002,756.7,0.9814813310589446,1
8.990000000000002,692.8,0.975557089865432,1
9.279999999999998,451.2,0.9957043836135704,1
7.939999999999999,622.8,0.933843717001056,0
9.189999999999998,629.0,0.9886734086047708,0
9.1,671.3,0.9685558985189398,0
9.159999999999998,646.2,0.9914575041290986,17
9.28,695.4,0.9924843635772886,2
9.04,701.5,0.9719769582757968,0
8.580000000000002,729.5,0.9381508407115589,0
9.159999999999998,634.0,0.9712262746053666,0
8.989999999999998,537.9,0.9647578046733274,0
9.3,699.3,0.9979929873013296,6
9.250000000000002,724.0,0.9906668832751198,10
8.489999999999998,620.7,0.93981601819511,0
8.87,551.9,0.9705114667099884,0
8.07,568.2,0.963061288430338,19
8.879999999999999,705.4,0.9678525979476348,8
9.35,791.4,0.9987199794221968,3
9.080000000000002,586.7,0.9889529688896108,3
8.969999999999999,775.7,0.9670646846993204,2
9.28,702.3,0.9961944602388108,6
8.7,727.5,0.9634974142365909,2
8.829999999999998,669.1,0.965337909186906,0
8.959999999999999,710.1,0.9638703869168492,2
9.2,747.1,0.9852916091300464,3
9.14,747.8,0.9785733625754744,10
8.82,691.9,0.9864348956218016,0
8.44,565.5,0.9589946660168412,17
9.14,706.1,0.9808815964042996,0
9.27,864.0,0.9921107139956136,4
9.27,600.1,0.9953307340318956,19
9.060000000000002,743.8,0.9731520591341076,13
9.27,575.7,0.9926143286491756,9
8.48,815.1,0.9355515392738202,3
8.879999999999999,710.9,0.968289876262421,3
9.17,756.7,0.9872816992933148,12
9.03,616.5,0.970437684455636,10
8.959999999999999,638.9,0.9718429317954131,19
8.959999999999999,615.3,0.9718429317954131,10
9.27,612.9,0.9952847047356024,6
9.080000000000002,708.7,0.9708099802344788,4
7.999999999999998,569.0,0.9879416781739908,12
9.22,657.9,0.9884635691657866,2
8.48,784.8,0.9852252727912706,13
9.04,688.1,0.9702203991010748,8
9.27,636.0,0.9913864294804104,6
9.250000000000002,605.5,0.9908327241220588,8
8.640000000000002,757.0,0.9620366609806948,0
8.919999999999998,753.6,0.9823003817723986,1
9.15,710.5,0.9820032220507404,3
8.76,654.9,0.9576530474101752,1
8.459999999999999,624.5,0.9594420978528688,6
9.159999999999998,706.6,0.9867814691468334,14
9.110000000000005,724.2,0.9834869899547828,2
8.86,752.8,0.9652824032707878,0
8.86,732.4,0.9819700538813526,0
9.27,596.4,0.9926197438605042,13
9.21,634.5,0.9892291446673708,7
9.23,557.8,0.9932682154171066,15
8.23,773.6,0.9427591855522162,1
9.27,570.0,0.9926197438605042,12
9.249999999999998,541.2,0.9949354236049064,0
9.23,585.5,0.99592708417946,16
9.1,640.1,0.991332277367124,10
7.799999999999999,761.7,0.9747421005604746,2
9.05,647.9,0.9741098746378578,4
9.070000000000002,699.3,0.9724771884222784,11
8.849999999999998,580.0,0.9719498822191536,0
9.16,763.9,0.9899811821406328,0
8.14,779.6,0.9601826280020578,16
9.28,687.8,0.9958905315029918,8
8.41,670.2,0.9332365364308344,2
8.68,723.9,0.951234668182926,0
8.05,764.7,0.9611994365496294,3
8.879999999999999,606.7,0.9617259632307152,3
9.14,735.8,0.9808815964042996,0
9.259999999999998,579.3,0.9939193945793736,1
9.28,640.8,0.9937840142961578,6
8.620000000000001,776.3,0.947370914899954,10
8.24,665.5,0.9548425527306204,0
8.809999999999999,604.3,0.979456718923456,1
8.91,639.6,0.98529093222863,12
9.010000000000002,642.4,0.963223946064495,0
8.9,618.0,0.9889191238188072,19
9.13,582.1,0.9921195137140224,14
8.759999999999998,695.5,0.982478406844827,12
9.33,689.3,0.9960204965748788,10
9.21,751.3,0.9886544553651204,7
9.07,750.4,0.9784366284894268,14
9.189999999999998,664.3,0.9874279099991876,2
9.09,743.9,0.9856266753310048,2
9.08,741.5,0.9770625186147892,7
9.23,616.0,0.9921438821650014,7
9.14,713.9,0.9757967129667235,5
9.080000000000002,793.5,0.9703591638913708,0
9.250000000000002,532.8,0.9925419001976554,13
9.150000000000002,840.3,0.987324344082528,21
9.14,724.1,0.9868674356266752,2
8.47,807.8,0.947475834619446,2
8.940000000000001,625.0,0.9819795305011778,1
9.169999999999998,717.1,0.9875558443668264,18
7.9300000000000015,727.2,0.9494788964241372,0
9.12,901.8,0.993611404435058,15
9.28,772.8,0.9925960523109416,3
9.01,701.1,0.9691779709203152,0
9.169999999999998,640.1,0.987236346898438,7
