Latitude,Longitude,Average_dist_F,Average_popularity_F,Average_rating_F,Max_rating_F,Max_popularity_F,Min_rating_F,Min_popularity_F
41.3765618,2.1748621,633.7,0.9899746063991873,9.22,9.3,0.9998781107160996,9.1,0.9683087861858811
41.4361251,2.1894423,631.4,0.9315232774674117,8.510000000000002,9.4,0.9996749619095988,8.2,0.5636295920094803
41.422037,2.174401,781.3,0.867102759437955,8.580000000000002,9.0,0.9962417470797359,8.4,0.16634501438970714
41.4121345,2.1652216,728.0,0.9867953275774506,9.090000000000002,9.4,0.998395124428644,8.7,0.9705231081767395
41.3847738,2.1592566,714.2,0.9885146436431352,9.280000000000001,9.4,0.9999661418655832,9.2,0.9445471474521754
41.3906352,2.111541,696.0,0.9446866429659726,8.500000000000002,9.3,0.9949822244794312,7.9,0.7034569155239546
41.3927771,2.1586273,605.2,0.9901120704249194,9.250000000000002,9.4,0.9999661418655832,9.1,0.9445471474521754
41.3896967,2.1652199,638.4,0.9907289656339934,9.280000000000001,9.4,0.9999661418655832,9.2,0.9445471474521754
41.4450463,2.176726,633.2,0.9372513966480447,7.7299999999999995,8.5,0.9819671576096157,7.3,0.8897240562045031
41.3767538,2.1269152,668.4,0.9622759437954971,9.0,9.2,0.9998510242085661,8.8,0.9009446419502285
41.426078,2.1751572,620.1,0.8179691890976807,8.57,9.0,0.9962417470797359,8.3,0.16634501438970714
41.3871579,2.1410945,722.0,0.9675300490942951,8.91,9.1,0.988183511088539,8.8,0.9389402403927544
41.4055143,2.1706498,506.9,0.9938425596749619,9.27,9.5,0.9999796851193499,9.1,0.971383104790926
41.3968391,2.1756598,657.4,0.9978676146944304,9.309999999999999,9.5,0.9999796851193499,9.2,0.9925850685627222
41.4299201,2.1849813,551.6,0.7820572202471643,8.580000000000002,9.4,0.9829558151345861,8.3,0.16634501438970714
41.3821371,2.1354149,695.2,0.9669666497375994,9.020000000000001,9.2,0.9982800067716269,8.9,0.9107431860504486
41.3808772,2.1559939,717.0,0.987342475029626,9.179999999999998,9.4,0.9999322837311664,9.1,0.9683087861858811
41.4479402,2.1976757,868.1,0.967388844879895,8.029999999999998,8.6,0.9996749619095988,7.6,0.8790087463556852
41.4090922,2.1656378,809.7,0.9938425596749619,9.27,9.5,0.9999796851193499,9.1,0.971383104790926
